,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Hakodate,JP,41.7758,140.7367,32.31,100,75,10.36,light shower snow
200,Ukiah,US,39.1502,-123.2078,55.04,88,1,3.44,clear sky
201,Souillac,MU,-20.5167,57.5167,82.78,65,40,19.57,scattered clouds
202,Tessalit,ML,20.1986,1.0114,72.23,36,9,8.46,clear sky
203,Fortuna,US,40.5982,-124.1573,49.35,72,40,0.0,scattered clouds
204,Tiksi,RU,71.6872,128.8694,-20.56,98,39,7.58,scattered clouds
205,Poum,NC,-20.2333,164.0167,77.95,82,100,6.17,overcast clouds
206,Mathbaria,BD,22.2876,89.9593,86.94,41,17,5.23,few clouds
207,Katsuura,JP,35.1333,140.3,61.2,61,0,13.18,clear sky
208,Shimoda,JP,34.6667,138.95,55.76,66,2,32.5,clear sky
209,Leh,IN,34.1667,77.5833,26.02,44,23,3.09,few clouds
210,Karabuk,TR,41.2049,32.6277,49.59,94,100,3.2,overcast clouds
211,Bambari,CF,5.768,20.6757,80.51,42,0,3.65,clear sky
212,Maracaju,BR,-21.6144,-55.1683,75.74,55,100,3.78,overcast clouds
213,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,75,75,15.66,light rain
214,Sholapur,IN,17.6833,75.9167,86.72,48,8,10.74,clear sky
215,Dingle,PH,10.9995,122.6711,80.8,86,100,13.27,overcast clouds
216,Belaya Gora,RU,68.5333,146.4167,-21.41,99,98,0.83,overcast clouds
217,Muros,ES,42.7762,-9.0603,53.83,82,63,14.58,broken clouds
218,Along,IN,28.1667,94.7667,78.26,40,8,1.79,clear sky
219,Avera,US,33.194,-82.5271,33.46,34,0,2.84,clear sky
220,Diamantino,BR,-14.4086,-56.4461,72.52,94,100,3.04,light rain
221,Flagstaff,US,35.1981,-111.6513,43.12,92,75,1.99,broken clouds
222,Gravdal,NO,68.1214,13.5031,30.09,59,75,10.36,broken clouds
223,Goderich,CA,43.7501,-81.7165,32.32,74,91,8.05,overcast clouds
224,Ulladulla,AU,-35.35,150.4667,72.5,78,100,7.81,moderate rain
225,Ulcinj,ME,41.9294,19.2244,52.02,71,10,13.42,clear sky
226,Fray Bentos,UY,-33.1325,-58.2956,55.53,47,0,8.34,clear sky
227,State College,US,40.7934,-77.86,28.8,75,1,1.99,clear sky
228,Aracoiaba,BR,-4.3711,-38.8142,75.6,91,99,3.02,overcast clouds
229,Civitavecchia,IT,42.0933,11.7967,52.61,84,12,5.5,few clouds
230,Dimitrovgrad,RU,54.2139,49.6184,14.05,90,20,5.93,few clouds
231,West Wendover,US,40.7391,-114.0733,34.81,44,1,12.66,clear sky
232,Inta,RU,66.0317,60.1659,16.05,93,100,17.67,light snow
233,Riachao,BR,-7.3619,-46.6172,71.64,91,38,3.27,light rain
234,Lavrentiya,RU,65.5833,-171.0,-1.34,90,5,8.21,clear sky
235,Buala,SB,-8.145,159.5921,82.87,75,100,6.33,overcast clouds
236,Trelew,AR,-43.249,-65.3051,66.42,46,0,15.68,clear sky
237,Valdivia,CL,-39.8142,-73.2459,55.49,99,19,2.1,few clouds
238,Cayenne,GF,4.9333,-52.3333,81.09,86,27,1.01,scattered clouds
239,San Antonio,US,29.4241,-98.4936,59.59,81,1,5.75,clear sky
240,Obihiro,JP,42.9172,143.2044,36.81,57,56,11.32,broken clouds
241,Sao Filipe,CV,14.8961,-24.4956,78.8,71,18,4.59,few clouds
242,Longyearbyen,SJ,78.2186,15.6401,4.84,56,0,17.27,clear sky
243,Catamarca,AR,-28.4696,-65.7852,69.58,81,8,12.77,clear sky
244,Mbekenyera,TZ,-10.0,38.9833,87.04,43,6,7.02,clear sky
245,Northam,GB,51.0333,-4.2167,46.38,86,99,2.3,overcast clouds
246,Sotouboua,TG,8.5667,0.9833,75.24,79,68,3.06,broken clouds
247,Sungairaya,ID,0.7,108.9,82.33,76,100,8.1,light rain
248,Hamilton,US,39.1834,-84.5333,34.88,70,0,1.01,clear sky
249,Visby,SE,57.6409,18.296,44.85,87,0,11.5,clear sky
250,Port Hardy,CA,50.6996,-127.4199,42.8,93,90,0.0,overcast clouds
251,Hobyo,SO,5.3505,48.5268,85.06,59,9,8.25,clear sky
252,Lompoc,US,34.6391,-120.4579,61.11,82,75,13.0,broken clouds
253,Lagoa,PT,39.05,-27.9833,64.98,87,92,24.14,overcast clouds
254,Calvia,ES,39.5657,2.5062,52.92,87,100,10.38,overcast clouds
255,Margate,GB,51.3813,1.3862,44.69,87,27,1.99,scattered clouds
256,San Policarpo,PH,12.1791,125.5072,82.49,82,99,13.6,overcast clouds
257,Nouadhibou,MR,20.931,-17.0347,71.35,70,100,13.02,overcast clouds
258,Carlentini,IT,37.2696,15.0126,58.78,83,100,2.8,overcast clouds
259,Phan Thiet,VN,10.9333,108.1,85.82,67,100,17.27,overcast clouds
260,Wamba,NG,8.9333,8.6,78.1,36,20,0.67,few clouds
261,Dargaville,NZ,-35.9333,173.8833,62.31,87,100,2.13,overcast clouds
262,Marovoay,MG,-16.1,46.6333,84.34,49,44,6.08,scattered clouds
263,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,76.42,70,100,2.04,overcast clouds
264,Kyren,RU,51.6828,102.1408,28.51,77,100,1.92,overcast clouds
265,Imbituba,BR,-28.24,-48.6703,67.89,75,98,4.92,overcast clouds
266,Mollendo,PE,-17.0231,-72.0147,64.26,90,95,6.93,overcast clouds
267,Caravelas,BR,-17.7125,-39.2481,67.8,95,19,2.15,few clouds
268,Touros,BR,-5.1989,-35.4608,76.1,80,100,9.13,overcast clouds
269,Ivanovka,KG,42.8878,75.085,52.23,36,7,3.42,clear sky
270,Farafangana,MG,-22.8167,47.8333,85.71,62,34,9.78,scattered clouds
271,Sjenica,RS,43.2731,19.9994,31.82,85,6,2.91,clear sky
272,Ketchikan,US,55.3422,-131.6461,37.87,93,90,12.66,moderate rain
273,Igrim,RU,63.1906,64.4162,10.6,87,29,8.66,scattered clouds
274,Thinadhoo,MV,0.5333,72.9333,82.36,77,99,19.84,overcast clouds
275,Kodiak,US,57.79,-152.4072,16.56,86,99,9.28,overcast clouds
276,Hervey Bay,AU,-25.2986,152.8535,82.02,68,100,3.0,moderate rain
277,Bowen,AU,-20.0167,148.2333,80.82,74,30,9.57,scattered clouds
278,Frankfort,ZA,-27.2667,28.4833,66.85,43,0,4.12,clear sky
279,Egvekinot,RU,66.3167,-179.1667,-4.99,66,88,6.44,overcast clouds
280,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.51,69,90,3.8,overcast clouds
281,Chuguyevka,RU,44.1653,133.8633,18.77,81,100,11.34,overcast clouds
282,Mizdah,LY,31.4451,12.9801,59.18,66,92,4.85,overcast clouds
283,Klyuchi,RU,52.2667,79.1667,27.36,73,95,13.22,overcast clouds
284,Chaman,PK,30.9236,66.4512,66.76,21,1,6.85,clear sky
285,Negombo,LK,7.2083,79.8358,78.85,89,75,9.22,light rain
286,Georgiyevka,KZ,43.0369,74.7114,53.64,37,0,8.95,clear sky
287,Grindavik,IS,63.8424,-22.4338,32.47,74,75,21.85,broken clouds
288,Ouallam,NE,14.3188,2.0866,77.86,18,0,9.71,clear sky
289,Arlit,NE,18.7369,7.3853,79.03,15,98,7.25,overcast clouds
290,Tan An,VN,10.5333,106.4167,91.42,73,98,4.43,overcast clouds
291,Nome,US,64.5011,-165.4064,-7.31,96,5,6.93,clear sky
292,Trincomalee,LK,8.5711,81.2335,81.63,79,100,9.66,overcast clouds
293,Preobrazheniye,RU,42.9019,133.9064,27.99,52,24,15.84,few clouds
294,Kassala,SD,15.451,36.4,81.03,49,4,9.98,clear sky
295,Yanam,IN,16.7333,82.2167,90.0,65,71,9.28,broken clouds
296,The Valley,AI,18.217,-63.0578,79.11,72,84,6.2,broken clouds
297,Rawson,AR,-43.3002,-65.1023,63.77,54,0,11.23,clear sky
298,Lorengau,PG,-2.0226,147.2712,80.46,80,100,8.19,overcast clouds
299,Dalvik,IS,65.9702,-18.5286,31.93,89,100,22.73,snow
300,General Roca,AR,-39.0333,-67.5833,61.2,21,0,5.23,clear sky
301,Walvis Bay,NA,-22.9575,14.5053,57.09,88,90,10.36,overcast clouds
302,San Francisco,US,37.7749,-122.4194,57.45,75,1,1.99,clear sky
303,Cervo,ES,43.6702,-7.4101,49.19,82,100,17.22,overcast clouds
304,Chuy,UY,-33.6971,-53.4616,51.08,85,0,4.59,light rain
305,Yuanping,CN,38.7153,112.7575,42.44,30,0,2.06,clear sky
306,Shatsk,RU,54.0258,41.7119,17.76,86,11,8.84,few clouds
307,Vardo,NO,70.3705,31.1107,23.2,100,90,11.5,heavy snow
308,Safaga,EG,26.7292,33.9365,69.75,42,0,14.54,clear sky
309,Veraval,IN,20.9,70.3667,86.25,43,3,4.43,clear sky
310,San Patricio,US,28.017,-97.5169,71.44,72,100,8.63,overcast clouds
311,Acapulco,MX,16.8634,-99.8901,76.71,85,6,4.32,clear sky
312,Ust-Maya,RU,60.4167,134.5333,-15.2,98,100,1.83,overcast clouds
313,Kupang,ID,-10.1667,123.5833,84.78,89,40,3.44,moderate rain
314,Malakal,SS,9.5334,31.6605,86.59,22,18,10.38,few clouds
315,Rocha,UY,-34.4833,-54.3333,46.47,87,0,6.87,clear sky
316,Lahij,YE,13.1667,44.5833,82.74,47,21,4.32,few clouds
317,Tual,ID,-5.6667,132.75,84.29,68,100,4.88,overcast clouds
318,Kizilskoye,RU,52.7255,58.8937,13.89,80,27,3.76,scattered clouds
319,Codrington,AU,-38.2667,141.9667,63.28,79,100,10.78,overcast clouds
320,Bud,US,39.447,-86.1758,34.84,72,0,9.46,clear sky
321,Panguna,PG,-6.3164,155.4848,75.38,82,53,2.33,broken clouds
322,Sari,IR,36.5633,53.0601,58.59,82,0,2.3,clear sky
323,Ugoofaaru,MV,5.6667,73.0,81.27,72,100,15.08,overcast clouds
324,Zavodskoy,RU,43.4597,132.2922,27.99,40,77,8.95,broken clouds
325,Grand Gaube,MU,-20.0064,57.6608,82.8,66,85,8.99,overcast clouds
326,Santa Fe,AR,-31.6333,-60.7,70.02,45,0,4.0,light rain
327,Rio Gallegos,AR,-51.6226,-69.2181,41.05,75,0,9.22,clear sky
328,Yabrud,SY,33.9674,36.6574,52.52,52,99,7.38,overcast clouds
329,Svetlyy,RU,54.675,20.1347,44.96,89,69,15.7,broken clouds
330,Klaksvik,FO,62.2266,-6.589,38.32,62,84,30.2,broken clouds
331,Koslan,RU,63.4564,48.8989,3.52,99,99,4.61,overcast clouds
332,Srivardhan,IN,18.0333,73.0167,89.38,61,66,4.79,broken clouds
333,Tateyama,JP,34.9833,139.8667,61.11,56,0,18.66,clear sky
334,Glace Bay,CA,46.1969,-59.957,48.09,97,90,5.99,moderate rain
335,Sabzevar,IR,36.2126,57.6819,49.28,50,0,9.22,clear sky
336,Karratha,AU,-20.7377,116.8463,90.05,34,100,15.61,overcast clouds
337,Winsum,NL,53.33,6.5208,46.98,86,100,8.43,overcast clouds
338,Pitimbu,BR,-7.4706,-34.8086,75.79,79,34,7.02,scattered clouds
339,Mahanoro,MG,-19.9,48.8,86.23,55,7,14.18,clear sky
340,Bardiyah,LY,31.7561,25.0865,65.84,47,97,9.75,overcast clouds
341,Makakilo City,US,21.3469,-158.0858,75.56,70,29,8.25,scattered clouds
342,Paamiut,GL,61.994,-49.6678,36.34,88,100,42.39,light rain
343,Malinovoye Ozero,RU,51.6753,79.7825,29.1,76,100,10.76,overcast clouds
344,Pochutla,MX,15.7432,-96.4661,74.82,69,0,4.74,clear sky
345,Sidney,AU,-33.8679,151.2073,75.34,82,75,1.99,moderate rain
346,Alenquer,BR,-1.9417,-54.7383,75.54,81,64,2.51,broken clouds
347,Penzance,GB,50.1186,-5.5371,49.77,77,100,10.94,overcast clouds
348,Ushumun,RU,52.7833,126.5333,19.2,60,100,11.54,overcast clouds
349,Mitu,CO,1.1983,-70.1733,71.13,99,100,1.95,light rain
